0,0,1,0,0, 2025-01-18T07:02:46.084Z
0,0,0,0,1, 2025-01-18T07:25:23.532Z
0,0,0,0,1, 2025-01-18T08:30:39.252Z
0,0,0,1,0, 2025-01-18T08:30:44.358Z
0,0,0,0,1, 2025-01-18T08:44:02.957Z
0,0,0,0,1, 2025-01-18T08:44:09.838Z
0,0,0,0,1, 2025-01-18T08:59:53.656Z
0,0,0,0,1, 2025-01-18T09:11:34.192Z
0,0,0,0,1, 2025-01-18T09:11:37.525Z
0,0,0,0,1, 2025-01-18T09:14:38.661Z
0,0,0,0,1, 2025-01-18T09:15:37.328Z
0,0,0,0,1, 2025-01-18T09:22:32.330Z
0,0,0,0,1, 2025-01-18T09:25:16.608Z
0,0,0,0,1, 2025-01-18T09:25:19.963Z
0,0,0,0,1, 2025-01-18T09:25:22.930Z
0,0,0,0,1, 2025-01-18T09:27:01.519Z
0,0,0,0,1, 2025-01-18T09:27:58.387Z
0,0,0,0,1, 2025-01-18T09:28:02.273Z
0,0,0,0,1, 2025-01-18T09:29:07.175Z
0,0,0,0,1, 2025-01-18T09:29:11.796Z
0,0,0,0,1, 2025-01-18T09:53:11.751Z
0,0,0,1,0, 2025-01-18T09:53:27.377Z
0,0,0,0,1, 2025-01-18T09:53:33.912Z
0,0,0,1,0, 2025-01-18T09:54:07.508Z
0,0,0,0,1, 2025-01-18T09:55:11.867Z
0,0,0,0,1, 2025-01-18T09:55:35.418Z
0,0,0,0,1, 2025-01-18T09:58:23.972Z
0,0,0,0,1, 2025-01-18T09:59:16.692Z
0,0,0,0,1, 2025-01-18T09:59:33.545Z
0,0,0,0,1, 2025-01-18T09:59:40.387Z
0,0,0,0,1, 2025-01-18T10:00:08.351Z
0,0,0,1,0, 2025-01-18T10:00:12.052Z
0,0,0,0,1, 2025-01-18T10:00:44.141Z
0,0,0,0,1, 2025-01-18T10:00:49.130Z
0,0,0,0,1, 2025-01-18T10:02:55.477Z
0,0,0,1,0, 2025-01-18T10:06:19.954Z
0,0,0,0,1, 2025-01-18T10:06:48.407Z
0,0,0,1,0, 2025-01-18T10:09:24.088Z
0,0,0,0,1, 2025-01-18T10:09:26.646Z
0,0,0,1,0, 2025-01-18T10:09:29.474Z
0,0,0,0,1, 2025-01-18T10:10:24.684Z
0,0,0,0,1, 2025-01-18T10:13:38.655Z
0,0,0,0,1, 2025-01-18T10:14:10.925Z
